plot_id,rep,block,range,column,entry,location,planting_date,trt,byd,ptht,yield,ndvi_032817,ndvi_041317,ndvi_050117,ndvi_050917,ndvi_052117,ndvi_052317,ndvi_053017,ndvi_060517,ndvi_061317,ndvi_phi1,ndvi_phi2,ndvi_phi3,pthtd_032817,pthtd_041317,pthtd_050117,pthtd_050917,pthtd_052117,pthtd_052317,pthtd_053017,pthtd_060517,pthtd_061317,pthtd_phi1,pthtd_phi2,pthtd_phi3
17BYD00052,1,1,13,4,KS090410M-3,Rocky,9/12/16,Untreated,20,0.98,3420,0.81,0.89,0.89,0.9,0.85,0.87,0.8,0.72,0.46,0.872689538,48.4960436,-0.176593191,0.337,0.521,0.659,0.808,0.66,0.694,0.751,0.909,0.856,0.854981373,-11.83582206,0.05703672
17BYD00053,1,1,14,4,KS090391K-10,Rocky,9/12/16,Untreated,50,0.91,3880,0.87,0.91,0.89,0.89,0.84,0.85,0.76,0.68,0.42,0.889304893,39.12214143,-0.143077584,0.368,0.595,0.767,0.888,0.818,0.81,0.857,0.958,0.976,0.930509124,-13.14402774,0.063837073
17BYD00054,1,1,14,3,KS12DH0023-118,Rocky,9/12/16,Untreated,40,0.9,4910,0.85,0.9,0.89,0.88,0.85,0.87,0.79,0.73,0.45,0.877941924,47.95125587,-0.174751132,0.321,0.529,0.688,0.829,0.842,0.846,0.86,0.877,0.897,0.909746709,-13.14443818,0.06275147
17BYD00055,1,1,14,2,KS12DH0296-48,Rocky,9/12/16,Untreated,15,0.86,4640,0.83,0.9,0.89,0.89,0.83,0.84,0.76,0.63,0.38,0.87770254,41.38189099,-0.152028293,0.281,0.492,0.689,0.801,0.722,0.724,0.848,0.851,0.821,0.833671961,-15.22274981,0.072647437
17BYD00056,1,1,14,1,KS090049K-8,Rocky,9/12/16,Untreated,10,0.87,4770,0.83,0.88,0.88,0.89,0.87,0.88,0.82,0.78,0.51,0.871357406,58.55340839,-0.212422314,0.309,0.5,0.598,0.835,0.756,0.71,0.839,0.893,0.882,0.918064197,-10.63460483,0.050102989
17BYD00057,1,1,15,1,Everest,Rocky,9/12/16,Untreated,5,0.98,4440,0.87,0.91,0.88,0.89,0.84,0.85,0.78,0.7,0.41,0.882839859,44.82825023,-0.1640007,0.354,0.569,0.637,0.837,0.758,0.671,0.834,0.843,0.634,0.783180196,-16.26076437,0.080325758
17BYD00058,1,1,15,2,KS090616K-4,Rocky,9/12/16,Untreated,25,0.97,3240,0.84,0.9,0.89,0.9,0.85,0.87,0.81,0.74,0.47,0.879409275,49.37241281,-0.179646087,0.343,0.538,0.738,0.838,0.702,0.75,0.706,0.837,0.866,0.820618114,-15.36295038,0.074904796
17BYD00059,1,1,15,3,WB-CEDAR,Rocky,9/12/16,Untreated,15,0.84,4500,0.85,0.89,0.87,0.87,0.83,0.85,0.76,0.66,0.42,0.871695145,40.63931021,-0.148578446,0.345,0.563,0.693,0.819,0.697,0.804,0.823,0.869,0.862,0.856028829,-12.88850463,0.062910694
17BYD00060,1,1,15,4,Art,Rocky,9/12/16,Untreated,70,0.93,2870,0.86,0.89,0.87,0.86,0.79,0.82,0.71,0.62,0.39,0.8726763,33.79951689,-0.124018155,0.367,0.601,0.733,0.846,0.756,0.75,0.782,0.874,0.874,0.840421202,-14.33683984,0.070663311
17BYD00061,1,2,16,4,KS090036K-10,Rocky,9/12/16,Treated,10,1.05,4350,0.89,0.92,0.88,0.9,0.84,0.86,0.75,0.57,0.39,0.90543083,35.69007763,-0.131552144,0.396,0.664,0.678,0.904,0.814,0.705,0.729,0.773,0.851,0.798829752,-18.82052281,0.094395451
17BYD00062,1,2,16,3,KS12DH0013-37,Rocky,9/12/16,Treated,30,0.96,4090,0.86,0.92,0.9,0.89,0.86,0.88,0.81,0.75,0.49,0.890320125,46.20773916,-0.167843708,0.357,0.573,0.75,0.863,0.821,0.832,0.824,0.911,0.92,0.903821999,-13.94705743,0.067607117
17BYD00063,1,2,16,2,Everest,Rocky,9/12/16,Treated,5,0.99,6020,0.88,0.92,0.91,0.91,0.84,0.85,0.77,0.59,0.36,0.906861671,39.0960123,-0.144318616,0.371,0.613,0.81,0.921,0.904,0.713,0.849,0.888,0.851,0.884455358,-18.03525732,0.088449737
17BYD00064,1,2,16,1,KS090391M-2,Rocky,9/12/16,Treated,15,1,7170,0.91,0.93,0.91,0.9,0.87,0.88,0.82,0.68,0.42,0.912803132,43.16028846,-0.158113009,0.377,0.617,0.753,0.929,0.935,0.871,0.92,0.932,0.928,0.959949926,-14.28127768,0.069094041
